date,spread,vix
2018-01-04,-0.006663184393064215,18.05
2018-01-05,0.002503899922255764,16.77
2018-01-09,0.00021934153758610707,17.13
2018-01-10,0.0006577360961509232,17.5
2018-01-11,-0.010664652461118288,18.39
2018-01-12,0.003935359150240694,16.27
2018-01-15,-0.005842275624228291,17.8
2018-01-16,0.003721758837412413,18.35
2018-01-17,0.003928237567449879,18.41
2018-01-18,-0.00401669009061576,18.46
2018-01-19,0.003443864059838563,17.7
2018-01-22,-0.003974743562662468,18.78
2018-01-23,-0.002569898175424222,18.72
2018-01-24,-0.0031549271875367917,18.89
2018-01-25,-0.004371104194326037,18.11
2018-01-26,0.006194177688873298,19.54
2018-01-29,0.0007993250569910953,18.86
2018-01-30,0.0011534538344641064,18.74
2018-01-31,-0.0031529657312304696,19.34
2018-02-01,-0.005128102027465681,19.75
2018-02-02,0.011203104636574458,18.83
2018-02-05,0.011341279415507444,19.51
2018-02-06,-0.005962314900950702,24.57
2018-02-07,0.013191996667605618,22.48
2018-02-08,0.014004925863532679,22.82
2018-02-09,-0.0003851997736430764,24.34
2018-02-12,-0.00980821766405445,25.24
2018-02-13,-0.0034644067215518787,23.03
2018-02-14,-0.01609270342263839,23.52
2018-02-15,-0.005614391087782058,23.31
2018-02-16,8.866034228704903e-05,21.64
2018-02-19,0.0011075915449015813,22.25
2018-02-20,0.0018579965530868762,22.09
2018-02-21,0.0034414329134118903,21.38
2018-02-22,-0.0042815275840041266,22.46
2018-02-26,-0.014480415196557886,21.42
2018-02-27,0.01018047728151619,21.65
2018-02-28,0.00102124645334355,22.91
2018-03-01,0.008660740804037786,21.54
2018-03-02,-0.00013199868020488673,23.91
2018-03-05,-0.0069766697961220914,22.7
2018-03-06,0.004421264607677539,21.53
2018-03-07,0.00211528370781322,22.71
2018-03-09,-0.0022917594869706756,21.59
2018-03-12,0.003875291092615008,22.85
2018-03-13,0.0024582979895404855,22.23
2018-03-14,0.001796001096036397,25.79
2018-03-15,0.005890968970581149,26.09
2018-03-16,0.0005219660840561507,24.02
2018-03-19,0.006069558215309763,23.44
2018-03-20,-0.0053740269753072625,21.81
2018-03-21,-0.01136276538021664,20.35
2018-03-22,0.0063965168807901315,22.25
2018-03-23,0.0007857860447107729,21.57
2018-03-26,-0.0022279994363128006,21.81
2018-03-27,0.006104226497413521,22.79
2018-03-28,0.003644730029434548,22.02
2018-03-29,-0.008088407290182875,21.72
2018-03-30,-0.00196674087127721,21.73
2018-04-02,0.005888656304457713,21.29
2018-04-03,0.001521045033699267,21.98
2018-04-04,-0.0021736303823900465,21.36
2018-04-05,0.0046025004175469135,21.86
2018-04-06,0.00802524046548033,21.4
2018-04-09,0.041828793072079616,44.66
2018-04-10,0.038207303227910897,43.96
2018-04-11,-0.006886284551735811,40.75
2018-04-12,-0.009632439222782039,37.24
2018-04-13,0.0009674299367882079,38.26
2018-04-16,-0.014365381151736512,37.88
2018-04-17,0.006396566860933739,32.08
2018-04-18,-0.011559877926277079,31.44
2018-04-19,0.0006981949890380214,32.73
2018-04-20,0.008299820730522581,31.85
2018-04-23,0.006574432186689607,31.23
2018-04-24,-0.0029977741712646135,30.45
2018-04-25,0.012017727409150594,29.33
2018-04-26,0.005676155464479969,27.91
2018-04-27,-0.009049110798473604,26.88
2018-04-28,0.001848503640681773,28.71
2018-04-30,0.01113895138303475,28.28
2018-05-02,0.01657681427432139,26.91
2018-05-03,-0.01566406146773341,25.78
2018-05-04,-0.008284919531456986,26.96
2018-05-07,0.006816169887670673,27.14
2018-05-08,0.004637069125831694,26.81
2018-05-10,-0.024253800223053366,18.22
2018-05-11,0.0035587226169941544,21.57
2018-05-14,-0.0012926161114725756,19.49
2018-05-15,0.007530186386612108,22.68
2018-05-16,-0.009472248819304604,21.0
2018-05-17,0.007343776699899899,21.53
2018-05-18,0.0011651969094588546,21.84
2018-05-21,-0.010617139475689239,21.86
2018-05-22,-0.006351295676495589,22.95
2018-05-23,0.0019585447749137694,21.19
2018-05-24,0.004392750901581871,22.27
2018-05-25,0.011098893068048765,23.27
2018-05-28,0.000521637954969899,23.98
2018-05-29,0.007911496893888351,25.68
2018-05-30,-0.011850567062150758,24.41
2018-05-31,0.005302068976186601,24.36
2018-06-01,-0.0034109866736235514,23.91
2018-06-04,-0.0021730390844847364,23.73
2018-06-05,0.001489443344411455,23.84
2018-06-06,-0.006173481789340797,23.17
2018-06-07,0.010468348607560603,24.64
2018-06-08,-0.0017237582188092601,26.59
2018-06-09,0.0034445502075520747,26.34
2018-06-11,0.00466722031169171,26.15
2018-06-13,-0.0045072970745045115,23.83
2018-06-14,0.0015179965364516526,14.68
2018-06-15,0.009020346871067545,18.76
2018-06-18,0.004026851079035445,20.37
2018-06-19,0.006636454036444098,22.63
2018-06-20,-0.0029004841405941735,24.39
2018-06-21,0.00039244928096812454,23.89
2018-06-22,-0.012953344373406823,25.36
2018-06-25,-0.0017902970706516392,24.95
2018-06-26,0.0038947668659822464,24.72
2018-06-27,0.0032077329843554483,23.8
2018-06-28,-0.006823798596368821,23.42
2018-06-29,-0.00047782114471249325,22.87
2018-07-02,0.01045968331636544,22.73
2018-07-03,-0.00450326654767227,23.55
2018-07-04,0.0015033432431378014,22.25
2018-07-05,-0.001978553136446277,23.42
2018-07-06,-0.002260336047122612,22.97
2018-07-09,-0.007771595219955333,21.03
2018-07-10,-0.012075496918039982,21.86
2018-07-11,0.010032922565096672,21.7
2018-07-12,-0.0016451001804278099,21.98
2018-07-13,0.0048872428326798625,20.87
2018-07-16,-0.0036832454162965163,22.15
2018-07-17,0.004322427285293734,22.88
2018-07-18,0.00577403296571607,23.6
2018-07-19,0.01105638113895424,21.67
2018-07-20,-0.0023195937352990205,23.08
2018-07-23,-0.007070517082398313,24.01
2018-07-24,0.004074614494713339,24.13
2018-07-25,-0.008006701777238497,24.88
2018-07-26,0.0021466913431633337,24.45
2018-07-27,-0.0025049216891042435,23.88
2018-07-30,-0.008957551796258484,23.83
2018-07-31,0.004248843974076048,22.9
2018-08-01,0.008642201182812611,23.28
2018-08-02,0.0056939655616731095,24.72
2018-08-03,-0.0010651518848348168,23.94
2018-08-06,0.006334738187162187,24.04
2018-08-07,-0.0039298958068318506,24.21
2018-08-08,0.0318926574747226,25.84
2018-08-09,0.01667997596763656,26.55
2018-08-10,0.01592651064021681,28.73
2018-08-13,0.001180637681415404,28.64
2018-08-14,-0.02176916142744346,23.51
2018-08-15,0.014218603681320358,31.61
2018-08-16,-0.006672531419656679,26.63
2018-08-17,0.0028011745892962945,28.72
2018-08-20,0.001155530834009825,27.18
2018-08-21,0.0024928854090933697,26.61
2018-08-22,0.011160087743999738,27.6
2018-08-23,0.0023491421755920446,28.96
2018-08-24,-0.01611388255492543,25.93
2018-08-27,0.006239806310065689,25.15
2018-08-28,0.005170260427965544,25.42
2018-08-29,0.001030852016770659,26.11
2018-08-30,0.00436930437543811,26.13
2018-08-31,-0.010126202701668084,25.95
2018-09-03,0.008402791388279866,25.06
2018-09-04,-0.00014681054126059807,26.25
2018-09-05,0.002053388811842228,26.97
2018-09-06,0.014617910561992721,29.46
2018-09-07,0.009449115520644468,29.2
2018-09-10,0.009289810718264046,30.82
2018-09-11,-0.016503321514477934,31.48
2018-09-12,-0.0054535411539855545,28.04
2018-09-13,-0.011399974132437674,26.7
2018-09-14,-0.0028979679495337828,26.15
2018-09-17,0.0001469345776438072,26.79
2018-09-18,-0.0101894779038449,26.98
2018-09-19,-0.008084841266355681,25.01
2018-09-20,-0.00856568465122887,24.58
2018-09-21,0.0022612506808724385,24.79
2018-09-24,-0.008696035744315312,25.92
2018-09-25,0.0008730144222276222,25.93
2018-09-26,-0.0014047878992631013,27.24
2018-09-27,-0.0027012133832208574,25.54
2018-09-28,-0.0013342738765417352,24.68
2018-10-01,-0.008197081175871753,25.33
2018-10-02,0.007662872745569097,26.17
2018-10-03,0.00551909289419785,26.43
2018-10-04,0.017384543780190696,28.55
2018-10-05,-0.006286740011339879,28.02
2018-10-08,-0.0006008035928536147,29.59
2018-10-09,-0.004630770845069715,29.58
2018-10-10,0.009763502267851217,30.49
2018-10-11,-0.009461661034047454,30.72
2018-10-12,-0.0023038439044767885,27.29
2018-10-15,-0.007095861446853297,27.95
2018-10-16,-0.005230716544083875,25.89
2018-10-17,0.0029050897691393278,26.52
2018-10-18,0.004911769541333081,27.32
2018-10-19,-0.005026284285231599,26.03
2018-10-22,-0.0036714130271593634,28.99
2018-10-23,0.004014917925481953,30.19
2018-10-24,0.0026296247931867816,27.82
2018-10-25,-0.0014092287758096674,29.1
2018-10-26,0.0019419330234055137,31.41
